name,return-text,geography,icon
YETI 164,suspected FBI Helicopter,,yeti.png
YETI 165,suspected FBI Black Hawk Helicopter,,yeti.png
YETI 166,suspected FBI Helicopter,,yeti.png
YETI 167,suspected FBI Helicopter,,yeti.png
YETI 168,suspected FBI Helicopter,,yeti.png
YETI 169,suspected FBI Helicopter,,yeti.png
YETI 170,suspected FBI Helicopter,,yeti.png
RAVEN,MD Air National Guard,,ANG.png
RAVEN 1,MD Air National Guard,,ANG.png
RAVEN 2,MD Air National Guard,,ANG.png
RAVEN 3,MD Air National Guard,,ANG.png
RAVEN 4,MD Air National Guard,,ANG.png
RAVEN 5,MD Air National Guard,,ANG.png
RAVEN 6,MD Air National Guard,,ANG.png
RAVEN 7,MD Air National Guard,,ANG.png
RAVEN 8,MD Air National Guard,,ANG.png
RAVEN 90,MD Air National Guard,,ANG.png
RAVEN 91,MD Air National Guard,,ANG.png
RAVEN 92,MD Air National Guard,,ANG.png
RAVEN 93, MD Air National Guard,,ANG.png
ANVIL,VA Air National Guard,,ANG.png
PIONEER,Navy Sea Hawk,,
PIONEER 525,Navy Sea Hawk,,
PEGASUS 1,University of Virginia Helicopter,,
PEGASUS,University of Virginia Helicopter,,
WATCHDOG,unknown,,
WATCHDOG 762,,,
WATCHDOG 777,unknown grey UH60,,
DOUBLEDOWN,Presidential fleet,,nighthawk.png
DOUBLE DOWN,Presidential fleet,,nighthawk.png
